-1	Behavioral Health Consultant
-1	Alarm Installation Tech (Alarm Installation Technician)
-1	Garnett Machine Operator
0	Railroad Shop Inspector
-1	Ground Source Heat Pump Technician (GSHP Technician)
-1	General Teller
-1	Hosing Docks and Pens Sanitation Worker
-1	Loading Machine Operator
1	Header Setup Operator
-1	Rubber Curer
-1	Returns Processor
-1	Slip Cover Sewer
-1	Roofer Assistant
-1	Professional Model
-1	Body Welder
2	Graphic Art Designer
-1	Heel Scourer
-1	Agricultural Equipment Sales Engineer
3	OTR CDL-A Truck Driver (Over the Road Commercial Driver's License Class A Truck Driver)
-1	Blueprint Blocker
-1	Icing Mixer
4	Radiological Engineer
-1	Credit Office Manager
5	Bagging Machine Operator
-1	Hide Washer
-1	Toll Patrolman
-1	Automotive Security Engineer
-1	Steel Burner
-1	Tobacco Sample Puller
-1	Audio Visual Engineer (AV Engineer)
6	Tennis Camp Instructor
-1	Bookmaker
7	Corporate Sustainability Manager
-1	Package Checker
8	Menswear Salesperson
-1	Flight Crew Scheduler
-1	Wood Barrel Reconditioner
-1	Braddisher
-1	Truck Engine Technician
-1	Straight Knife Machine Cutter
-1	Seed and Fertilizer Specialist
-1	Acoustical Tile Drill Press Operator
-1	Speech Therapy Director
-1	Test Driller
-1	Mail Distributor
-1	Analyst
9	Operations Specialist (Ops Specialist)
-1	Dough Scaler
-1	Towel Stretcher
-1	Data Center Manager
10	Lithographic Plate Maker
-1	Counselor
11	Optical Laboratory Mechanic
-1	Transplanter
-1	Hand Sample Maker
-1	Road Design Engineer
-1	Fairing Man
-1	Before and After School Daycare Worker
-1	Electrical Prospecting Observer
-1	Automotive Service Management Teacher
-1	Wildlife and Game Protector
-1	Computer Methods Analyst
-1	Environmental Services Custodial Manager
-1	Inspector Aide
12	Sterile Processor
-1	Blindstitch Hemmer
13	Clinical Trials Manager
-1	Bindery Cutter Operator
-1	Retanner
-1	Balance Engineer
-1	Variety Saw Operator
14	Optical Instrument Assembly Supervisor
-1	Enrober
-1	Toll Mechanic
-1	Medical Scribe
-1	Gristmill Operator
15	Compressed Gas Tester
-1	Operator (Op)
16	Marine Equipment Research Engineer
-1	Public Service Director
17	Advertising Account Executive (Ad Account Executive)
-1	Limb Driver
-1	Marble Finisher
18	Banquet Chef
-1	Fabric Machine Operator
-1	Weft Straightener
-1	Traffic Agent
-1	Class B Driver
-1	Race and Sports Book Writer
-1	Wet Cotton Feeder
-1	Tar Chaser
19	Child Neurologist
20	Excavator Backhoe Operator
-1	Railroad Equipment Car Repairer
-1	Progressive Care Unit RN (Progressive Care Unit Registered Nurse)
-1	Costume Mistress
-1	Information Security Administrator
21	Rodent Exterminator
-1	Hydraulic Elevator Constructor
-1	Nut Former
-1	Materials Exchange Specialist
22	Special Education Assistant
-1	Forklift Wheel Loader
-1	Industrial Spray Painter
-1	Subsurface Augmentee Operator
-1	Ring Polisher
-1	Angle Shear Operator
-1	Paper Machine Setup Operator
-1	Camper Assembler
23	Sandblaster
24	Aviation Mechanic
-1	Machine Candle Molder
-1	Crossing Tender
-1	Anode Machine Operator
25	Television Producer (TV Producer)
-1	College Administrator
-1	Shipping and Receiving Coordinator
26	Can Filler
-1	Bilingual Interpreter
-1	Secret Service Agent
-1	Drag Out Man
-1	Lumber Grader
27	Nursing School Director
28	Sorter
-1	Brand Recorder
-1	Milk Inspector
-1	House Mover Helper
29	Anthropology Professor
-1	Change Management Analyst
30	Occupational Medicine Specialist
-1	Directory Assistance Operator (Directory Assistance Op)
-1	Back Hoe Machine Operator
-1	Boiler Room Helper
-1	Test Desk Supervisor
-1	Direct Mail Coordinator
31	Personal Chef
-1	General Installer
-1	Lining Caser
-1	Flaking Roll Operator
32	Global Command and Control System Common Operational Picture/Maritime 4.X (GCCS COP/M 4.X) Operator
33	Dip Lube Operator
-1	Care Taker
-1	Accounting Specialist
-1	Gun Fitter
34	Group Insurance Special Agent
-1	Public Health Clinical Nurse Specialist
-1	Tetryl Screen Operator
-1	Tiller Man
-1	Seed Cleaner
-1	Skip Tracer
35	Light Truck Driver
36	Juvenile Officer
-1	Wire Coater
-1	Bioanalyst
-1	Executive Meeting Manager
37	Production Control Planner
-1	Cable Assembler
-1	Business Process Analyst
-1	Insert Cutter
38	Political Science Instructor
39	Fire Prevention Research Engineer
-1	Predatory Animal Exterminator
-1	Underground Conduit Installer
-1	Air-Conditioner Window Unit Installer (AC Window Unit Installer)
-1	Sample Sewer
-1	Tablet Tester
-1	Cub Reporter
-1	Ice Carver
40	Industrial Millwright
-1	Respiratory Therapy Director
-1	Pediatric Urologist
-1	Stopper Setter
-1	Tack Cleaner
-1	Career Education Teacher
-1	Sheet Metal Technician (Sheet Metal Tech)
-1	Glue Cook
-1	Lens Cutter
-1	Radio Performer
-1	Military Pilot
-1	Field Service Installer
-1	Conveyor Attendant
41	Coverer
-1	Parking Meter Installer
-1	Custom Stock Maker
-1	Poke-In
-1	Land Commissioner
42	Kapok Machine Operator
43	Wellness Programs Director
-1	Sports Team Manager
-1	Buttonholer
-1	Ventilation Worker
-1	Legal Technician
-1	Roasterman
-1	Sanding Supervisor
44	Jewelry Drill Operator
-1	Pin Sticker
-1	Bag Mender
-1	Terrestrial Habitat Restoration Technician
-1	Correctional Case Manager
-1	Heel Cutter
-1	Musical Choreographer
-1	Autopsy Facilities Manager
-1	In Store Promoter
-1	Iron Molder Helper
45	Resource Conservationist
-1	Pararescue Manager
-1	Sectionizer
46	Customer Service Representative
47	Lime Sludge Kiln Operator
48	Rehabilitation Clerk
-1	Plugger Worker
-1	Dietary Aide
-1	Olericulture Professor
-1	Leather Products Supervisor
-1	Crime Victim Specialist
49	E-Commerce Sales Specialist
-1	Hand Collator
-1	Cotton Puller
-1	String Top Sealer
50	Computer Help Desk Representative (Computer Help Desk Rep)
-1	Cosmetics Presser
-1	Heat Plant Specialist
-1	Lehr Operator
51	Mortgage Accounting Clerk
-1	Search Engineer Marketing Specialist
-1	Digital Tech (Digital Technician)
52	ESL Tutor (English as a Second Language Tutor)
-1	Hide House Supervisor
53	Flower Designer
-1	Production Cook
-1	Mine Safety and Health Inspector
-1	Residential Housekeeper
-1	Piece Worker
-1	Beam Carrier, Hauler, Pusher
-1	Television Audio Engineer
-1	Radio Tower Technician (Radio Tower Tech)
54	Town Treasurer
-1	Network Security Engineer
-1	Industrial Chemistry Teacher
55	Food and Nutrition Professor
-1	Glass Inspector
-1	Material Requirements Planner (MRP)
56	Hydroelectric Station Supervisor (Hydro Station Supervisor)
-1	Ore Crusher
-1	TNT Powder Worker
-1	Plate Glass Polisher
57	Collection Specialist
58	Pre-School Teacher
-1	Cocoa Butter Filter Operator
-1	Cooler Case Picker
-1	Railroad Baggage Porter
59	Agriculture Farmer
-1	Level Vial Marker
60	Foreign Legal Consultant
-1	Quality Control Director (QC Director)
-1	Segmental Wall Installer
61	Terrazzo Finisher Helper
-1	Robot Technician
62	Education Consultant
-1	Nut Cracker
29	Ethnology Professor
-1	Warper Tender
63	Psychology Adjunct Instructor
-1	Men's Furnishings Salesperson
-1	Weight and Inspection Coordinator
-1	Churn Driller Helper
-1	Jar Capper
-1	Electrical Machinist
64	Spray Gun Operator
-1	Boiler Repair Supervisor
-1	Speed Operator
65	Dermatologist Physician
66	Fruit Farmworker
-1	Sifting Operator
-1	Order Clerk
67	Cullet Washer
68	Inorganic Chemistry Teacher
69	Marine Engine Mechanic
-1	Time Piece Repairer
70	Decorative Cutting Machine Tender
-1	Jewel Lathe Operator
-1	Ream Cutter
-1	Diamond Selector
-1	Licensed Engineer
-1	Fine Craft Artist
-1	Thinner
-1	Collections Officer
-1	Medical Accountant
-1	Furnace Tapper
-1	Racing Board Marker
-1	Equipment Specialist
-1	Night Filler
-1	Ready Mix Truck Driver
-1	Heavy Equipment Operator (HEO)
-1	Storer
-1	Word Processing Supervisor
-1	Branding Machine Operator
71	Communication Studies Instructor
72	Landscape Designer
73	Print Operator
74	Coffee Bar Attendant
-1	Weigher Operator
75	Recreation Supervisor
76	Power Line Installer
-1	Religious Supplies Sales Representative
-1	Data Reviewer
-1	Carbonizer
77	Parking Lot Supervisor
-1	Steel Analyst
78	Music Producer
-1	Package Delivery Driver
-1	Appliance Parts Counter Clerk
-1	Channel Worker
-1	Antenna Engineer
79	Carbon Brusher Assembler
80	Animal Rehabilitator
-1	Core Fitter
-1	Metal Mockup Maker
-1	Clarinetist
-1	Licensed Alcohol and Drug Counselor (LADC)
-1	Sand Buffer
-1	Custom Dressmaker
-1	Ordnance Truck Installation Supervisor
81	Barber or Beauty Shop Manager
-1	Drapery Worker
-1	Architecture Technician
-1	Bingo Checker
82	Emergency Room Physician (ER Physician)
-1	Food and Drug Inspector
-1	Basting Puller
-1	Electrical Appliance Mechanic
83	Industrial Maintenance Repairer
-1	Climate and Energy Program Associate
-1	Offensive Security Engineer
84	Radiological Technologist
-1	Plunger Scoop Operator
-1	Cord Cutter
-1	Magnetometer Operator
85	Photovoltaic Power Systems Engineer (PV Power Systems Engineer)
-1	Packager
-1	Marking Machine Operator
86	Programming and Software Development Project Manager
-1	Orthopedic Manufacturing Technologist
-1	Crop Applicator
-1	Aircraft Shipping Checker
85	Photovoltaic Power Systems Engineer
-1	Facsimile Machine Operator
-1	Printed Circuit Boards Coating Equipment Operator (PCB Coating Equipment Operator)
-1	Circus Agent
-1	Collision Worker
-1	Automatic Blocker
-1	Parquet Floor Layer's Helper
-1	Quantitative Researcher
-1	Automatic Packer Operator
-1	Gas Pit Worker
-1	Library Monitor
-1	Sound Equipment Mechanic
-1	Edge Glue Machine Tender
-1	Water Transportation Cook
-1	Office Copy Selector
-1	Warper Creeler
-1	Hand Spring Former
87	Hotel Front Desk Clerk
-1	TOMAHAWK Weapon System (Surface) Operator
-1	Airport Skilled Maintenance Supervisor
88	Regulatory Coordinator
-1	School Coordinator
-1	Metal Annealer
89	Creative Music Therapist
-1	Roll Over Press Operator
-1	UX Research Assistant (User Experience Research Assistant)
-1	Vessel Engineer
90	Clean Out Driller Helper
-1	Wet Sander
91	Business and Employment Specialist
-1	Knot Borer
-1	Broker Assistant
92	Railroad Signal Maintainer
-1	Maintenance Specialist
-1	Estate Trustee
-1	Preforms Laminator
93	Straddle Truck Operator
-1	Clean in Places Operator (CIP Operator)
-1	Interlibrary Loan Specialist
-1	Dish Machine Operator (DMO)
-1	Plasma Operator
-1	Backup Sawyer
-1	Pipe Welder
-1	Traffic Sergeant
-1	Historical Society Window Dresser
-1	Clinical Cytogeneticist
-1	Sole Filler
-1	Production Foreman
-1	Compliance Auditor
94	E-Commerce Product Manager
95	Red Team Member
-1	Shipyard Painting Supervisor
-1	Bindery Machine Tender
-1	Bank Accountant
