7492	Behavioral Health Consultant
7806	Alarm Installation Tech (Alarm Installation Technician)
1957	Garnett Machine Operator
7870	Railroad Shop Inspector
-1	Ground Source Heat Pump Technician (GSHP Technician)
1835	General Teller
-1	Hosing Docks and Pens Sanitation Worker
7238	Loading Machine Operator
2393	Header Setup Operator
2011	Rubber Curer
1218	Returns Processor
1389	Slip Cover Sewer
4492	Roofer Assistant
-1	Professional Model
8833	Body Welder
8914	Graphic Art Designer
-1	Heel Scourer
-1	Agricultural Equipment Sales Engineer
-1	OTR CDL-A Truck Driver (Over the Road Commercial Driver's License Class A Truck Driver)
1817	Blueprint Blocker
5213	Icing Mixer
9268	Radiological Engineer
6902	Credit Office Manager
8455	Bagging Machine Operator
-1	Hide Washer
-1	Toll Patrolman
-1	Automotive Security Engineer
6122	Steel Burner
1650	Tobacco Sample Puller
-1	Audio Visual Engineer (AV Engineer)
5463	Tennis Camp Instructor
407	Bookmaker
8780	Corporate Sustainability Manager
-1	Package Checker
4357	Menswear Salesperson
3784	Flight Crew Scheduler
-1	Wood Barrel Reconditioner
712	Braddisher
-1	Truck Engine Technician
5901	Straight Knife Machine Cutter
2160	Seed and Fertilizer Specialist
-1	Acoustical Tile Drill Press Operator
4258	Speech Therapy Director
-1	Test Driller
2617	Mail Distributor
-1	Analyst
8169	Operations Specialist (Ops Specialist)
647	Dough Scaler
-1	Towel Stretcher
-1	Data Center Manager
6277	Lithographic Plate Maker
7810	Counselor
7434	Optical Laboratory Mechanic
1802	Transplanter
-1	Hand Sample Maker
6024	Road Design Engineer
231	Fairing Man
-1	Before and After School Daycare Worker
-1	Electrical Prospecting Observer
-1	Automotive Service Management Teacher
8012	Wildlife and Game Protector
-1	Computer Methods Analyst
5974	Environmental Services Custodial Manager
1456	Inspector Aide
4594	Sterile Processor
3855	Blindstitch Hemmer
6564	Clinical Trials Manager
4483	Bindery Cutter Operator
66	Retanner
-1	Balance Engineer
8463	Variety Saw Operator
3442	Optical Instrument Assembly Supervisor
425	Enrober
1573	Toll Mechanic
-1	Medical Scribe
-1	Gristmill Operator
6109	Compressed Gas Tester
4664	Operator (Op)
5971	Marine Equipment Research Engineer
-1	Public Service Director
8228	Advertising Account Executive (Ad Account Executive)
-1	Limb Driver
4076	Marble Finisher
5834	Banquet Chef
9596	Fabric Machine Operator
3510	Weft Straightener
-1	Traffic Agent
-1	Class B Driver
4803	Race and Sports Book Writer
1144	Wet Cotton Feeder
-1	Tar Chaser
7974	Child Neurologist
9000	Excavator Backhoe Operator
-1	Railroad Equipment Car Repairer
5532	Progressive Care Unit RN (Progressive Care Unit Registered Nurse)
-1	Costume Mistress
-1	Information Security Administrator
3372	Rodent Exterminator
-1	Hydraulic Elevator Constructor
-1	Nut Former
-1	Materials Exchange Specialist
8945	Special Education Assistant
-1	Forklift Wheel Loader
8165	Industrial Spray Painter
133	Subsurface Augmentee Operator
5814	Ring Polisher
3576	Angle Shear Operator
9668	Paper Machine Setup Operator
-1	Camper Assembler
3047	Sandblaster
-1	Aviation Mechanic
2622	Machine Candle Molder
-1	Crossing Tender
4729	Anode Machine Operator
8516	Television Producer (TV Producer)
8546	College Administrator
7618	Shipping and Receiving Coordinator
2370	Can Filler
8552	Bilingual Interpreter
-1	Secret Service Agent
775	Drag Out Man
3794	Lumber Grader
4365	Nursing School Director
5145	Sorter
-1	Brand Recorder
3319	Milk Inspector
4448	House Mover Helper
9433	Anthropology Professor
3246	Change Management Analyst
3962	Occupational Medicine Specialist
921	Directory Assistance Operator (Directory Assistance Op)
5558	Back Hoe Machine Operator
6992	Boiler Room Helper
3631	Test Desk Supervisor
-1	Direct Mail Coordinator
6285	Personal Chef
4755	General Installer
1006	Lining Caser
5230	Flaking Roll Operator
389	Global Command and Control System Common Operational Picture/Maritime 4.X (GCCS COP/M 4.X) Operator
2770	Dip Lube Operator
-1	Care Taker
-1	Accounting Specialist
6317	Gun Fitter
7847	Group Insurance Special Agent
7100	Public Health Clinical Nurse Specialist
-1	Tetryl Screen Operator
215	Tiller Man
394	Seed Cleaner
-1	Skip Tracer
9072	Light Truck Driver
7780	Juvenile Officer
-1	Wire Coater
8955	Bioanalyst
-1	Executive Meeting Manager
6335	Production Control Planner
4204	Cable Assembler
8775	Business Process Analyst
-1	Insert Cutter
9351	Political Science Instructor
8405	Fire Prevention Research Engineer
-1	Predatory Animal Exterminator
1037	Underground Conduit Installer
8242	Air-Conditioner Window Unit Installer (AC Window Unit Installer)
3263	Sample Sewer
-1	Tablet Tester
-1	Cub Reporter
1525	Ice Carver
9217	Industrial Millwright
1664	Respiratory Therapy Director
4850	Pediatric Urologist
508	Stopper Setter
1459	Tack Cleaner
7533	Career Education Teacher
6778	Sheet Metal Technician (Sheet Metal Tech)
137	Glue Cook
-1	Lens Cutter
8508	Radio Performer
-1	Military Pilot
2022	Field Service Installer
-1	Conveyor Attendant
4517	Coverer
6949	Parking Meter Installer
-1	Custom Stock Maker
-1	Poke-In
-1	Land Commissioner
6766	Kapok Machine Operator
7678	Wellness Programs Director
4629	Sports Team Manager
726	Buttonholer
2378	Ventilation Worker
-1	Legal Technician
-1	Roasterman
2339	Sanding Supervisor
8581	Jewelry Drill Operator
1031	Pin Sticker
-1	Bag Mender
6575	Terrestrial Habitat Restoration Technician
-1	Correctional Case Manager
-1	Heel Cutter
5148	Musical Choreographer
-1	Autopsy Facilities Manager
-1	In Store Promoter
3343	Iron Molder Helper
7667	Resource Conservationist
